Línea_aérea,Línea_aérea_Id,Aeropuerto_origen,Aeropuerto_origen_Id,Aeropuerto_destino,Aeropuerto_destino_Id,Vuelo_operado,Número_paradas,Modelo_avión,Distancia_km
AM,321,SLW,1810,MEX,1824,Y,0,ERJ,705.5383205791975
AM,321,SMF,3817,GDL,1804,,0,738,2671.960993115207
AM,321,STL,3678,ATL,3682,Y,0,717 M90 M88,778.5163000145793
AM,321,TAM,1848,MEX,1824,Y,0,ERJ E70 E75 EMJ,341.6102233391967
AM,321,TAM,1848,MTY,1825,,0,AT7,448.8144029335625
AM,321,TAM,1848,VER,1854,,0,AT7,391.1490340625623
AM,321,TAP,1851,GUA,1767,Y,0,ERJ,199.4394327113257
AM,321,TAP,1851,MEX,1824,,0,ERJ E70 EMJ E75,878.8233043357958
AM,321,TGZ,1846,MEX,1824,,0,ERJ EMJ,714.5200507465751
AM,321,TIJ,1847,BJX,1815,,0,EMJ,1997.8190460488463
AM,321,TIJ,1847,CJS,1796,Y,0,ERJ,997.0832541166909
AM,321,TIJ,1847,CUL,1792,,0,738,1265.3784791710557
AM,321,TIJ,1847,DGO,1801,Y,0,EMJ,1532.8390618650499
AM,321,TIJ,1847,GDL,1804,,0,738,1901.1941569222222
AM,321,TIJ,1847,HMO,1807,Y,0,ERJ,682.4244400245375
AM,321,TIJ,1847,MEX,1824,,0,737 787 762 777,2299.5484829803413
AM,321,TIJ,1847,NRT,2279,,0,787,8948.123599923558
AM,321,TIJ,1847,PVG,3406,,0,777,10612.382905210205
AM,321,TLC,1850,ACA,1783,Y,0,ERJ,287.38988872610463
AM,321,TLC,1850,GDL,1804,Y,0,ERJ,412.77925863611694
AM,321,TLC,1850,MTY,1825,Y,0,ERJ,717.9478009465984
AM,321,TPA,3646,ATL,3682,Y,0,757,654.5405030909114
AM,321,TPQ,1802,MEX,1824,,0,CRJ ATR,640.0288437350015
AM,321,TRC,1845,CUU,1797,Y,0,ERJ,430.2306002961732
AM,321,TRC,1845,GDL,1804,Y,0,ERJ,560.8861542243188
AM,321,TRC,1845,MEX,1824,,0,EMJ,813.9154067227842
AM,321,UIO,2688,MEX,1824,,0,737,3133.8069267416918
AM,321,VER,1854,MEX,1824,,0,AT7,304.2859795542657
AM,321,VER,1854,MTY,1825,Y,0,ERJ,839.6356664040696
AM,321,VER,1854,TAM,1848,,0,AT7,391.1490340625623
AM,321,VER,1854,VSA,1853,,0,AT7,377.22937833117044
AM,321,VSA,1853,MEX,1824,,0,737 EMJ ERJ E70,677.3938847374422
AM,321,VSA,1853,MID,1819,,0,AT7,465.07596553473644
AM,321,VSA,1853,PAZ,1830,,0,ATR,566.5187490096899
AM,321,VSA,1853,VER,1854,,0,AT7,377.22937833117044
AM,321,VVI,2771,LIM,2789,Y,0,319,1625.552729859058
AM,321,XNA,4356,ATL,3682,Y,0,CRJ,945.9553300956037
AM,321,YUL,146,ATL,3682,Y,0,CR9 CR7,1599.2948199893565
AM,321,YUL,146,MEX,1824,,0,738,3710.446759719029
AM,321,ZCL,1855,MEX,1824,Y,0,ERJ,536.8088422796478
AM,321,ZIH,1856,LAX,3484,Y,0,739,2477.1478849093974
AM,321,ZIH,1856,MEX,1824,Y,0,ERJ EMJ,323.9176387831001
AM,321,ZLO,1858,LAX,3484,Y,0,73H,2139.893059212387
AM,321,ZLO,1858,MEX,1824,Y,0,E75 ERJ,576.3853427027284
AP,240,AMS,580,CTA,1509,,0,320,1833.7215018529212
AP,240,AMS,580,LIN,1529,Y,0,32S 321,830.5598516043605
AP,240,AMS,580,PMO,1512,,0,320,1697.5910134352941
AP,240,ATH,3941,VCE,1551,,0,320,1275.1561222049802
AP,240,BLQ,1538,CTA,1509,,0,320,846.7297372794146
AP,240,BLQ,1538,TIA,1190,,0,320,767.7450733875596
AP,240,BRI,1501,LIN,1529,Y,0,32S,771.0595114224557
AP,240,CDG,1382,CTA,1509,,0,320,1630.4152551553452
AP,240,CDG,1382,LIN,1529,Y,0,32S 320 319,643.6741234761572
AP,240,CDG,1382,PMO,1512,,0,320,1470.0111366922818
AP,240,CPH,609,VCE,1551,,0,320,1123.966150968053
AP,240,CTA,1509,AMS,580,,0,320,1833.7215018529212
AP,240,CTA,1509,BLQ,1538,,0,320,846.7297372794146
AP,240,CTA,1509,CDG,1382,,0,320,1630.4152551553452
AP,240,CTA,1509,DUS,345,,0,320,1668.960568262272
AP,240,CTA,1509,LGW,502,,0,320,1937.0146601993847
AP,240,CTA,1509,LIN,1529,Y,0,319 E90,1008.5646120477224
AP,240,CTA,1509,LYS,1335,,0,320,1235.3490635226415
AP,240,CTA,1509,MXP,1524,,0,320,1048.4148478608283
AP,240,CTA,1509,PSA,1562,,0,320,795.2370148767285
AP,240,CTA,1509,STR,350,,0,320,1333.3273833995254
AP,240,CTA,1509,SVO,2985,,0,320,2645.221151584888
AP,240,CTA,1509,TRN,1526,,0,320,1058.0475286478081
AP,240,CTA,1509,TXL,351,,0,320,1682.8757423940926
AP,240,CTA,1509,VCE,1551,,0,320,921.2628567033719
AP,240,CTA,1509,VIE,1613,,0,320,1189.0312902745598
AP,240,CTA,1509,VRN,1550,,0,320,947.0117151397017
AP,240,DUS,345,CTA,1509,,0,320,1668.960568262272
AP,240,GOA,1528,TIA,1190,,0,320,945.4136999661389
AP,240,LED,2948,VCE,1551,,0,320,1981.7068402459868
AP,240,LGW,502,CTA,1509,,0,320,1937.0146601993847
AP,240,LGW,502,PMO,1512,,0,320,1777.3477512992056
AP,240,LIN,1529,AMS,580,Y,0,32S 321,830.5598516043605
AP,240,LIN,1529,BRI,1501,Y,0,32S E75 319,771.0595114224557
AP,240,LIN,1529,CDG,1382,Y,0,32S 320 319,643.6741234761572
AP,240,LIN,1529,CTA,1509,Y,0,319 E90,1008.5646120477224
AP,240,LIN,1529,NAP,1561,Y,0,E90 32S,649.2071878185873
AP,240,LIN,1529,PMO,1512,Y,0,32S 320 E75,867.0897896916596
AP,240,LYS,1335,CTA,1509,,0,320,1235.3490635226415
AP,240,MXP,1524,CTA,1509,,0,320,1048.4148478608283
AP,240,MXP,1524,TIA,1190,,0,320,1000.7848511501857
AP,240,NAP,1561,LIN,1529,Y,0,E90 32S,649.2071878185873
AP,240,PMO,1512,AMS,580,,0,320,1697.5910134352941
AP,240,PMO,1512,CDG,1382,,0,320,1470.0111366922818
AP,240,PMO,1512,LGW,502,,0,320,1777.3477512992056
AP,240,PMO,1512,LIN,1529,Y,0,32S E75,867.0897896916596
AP,240,PMO,1512,SVO,2985,,0,320,2673.982083206267
AP,240,PMO,1512,TRN,1526,,0,320,901.3073201161025
AP,240,PMO,1512,TXL,351,,0,320,1598.462588282886
AP,240,PMO,1512,VCE,1551,,0,320,816.7538792913975
AP,240,PMO,1512,VRN,1550,,0,320,822.692558498753
AP,240,PRG,1587,PSA,1562,,0,320,770.9174670540646
AP,240,PRG,1587,VCE,1551,,0,320,530.1149881879469
AP,240,PSA,1562,CTA,1509,,0,320,795.2370148767285
AP,240,PSA,1562,PRG,1587,,0,320,770.9174670540646
AP,240,PSA,1562,SVO,2985,,0,320,2345.4996656492463
AP,240,PSA,1562,TIA,1190,,0,320,803.6560151919725
AP,240,PSA,1562,TXL,351,,0,320,1009.2140965214111
AP,240,STR,350,CTA,1509,,0,320,1333.3273833995254
AP,240,SUF,1508,TRN,1526,,0,320,994.9552536205528
AP,240,SUF,1508,VCE,1551,,0,320,800.023959048027
AP,240,SVO,2985,CTA,1509,,0,320,2645.221151584888
AP,240,SVO,2985,PMO,1512,,0,320,2673.982083206267
AP,240,SVO,2985,PSA,1562,,0,320,2345.4996656492463
AP,240,TIA,1190,BLQ,1538,,0,320,767.7450733875596
AP,240,TIA,1190,GOA,1528,,0,320,945.4136999661389
AP,240,TIA,1190,MXP,1524,,0,320,1000.7848511501857
AP,240,TIA,1190,PSA,1562,,0,320,803.6560151919725
AP,240,TIA,1190,VCE,1551,,0,320,747.7409321344018
AP,240,TIA,1190,VRN,1550,,0,320,838.4014611748274
AP,240,TRN,1526,CTA,1509,,0,320,1058.0475286478081
AP,240,TRN,1526,PMO,1512,,0,320,901.3073201161025
AP,240,TRN,1526,SUF,1508,,0,320,994.9552536205528
AP,240,TXL,351,CTA,1509,,0,320,1682.8757423940926
AP,240,TXL,351,PMO,1512,,0,320,1598.462588282886
AP,240,TXL,351,PSA,1562,,0,320,1009.2140965214111
AP,240,VCE,1551,ATH,3941,,0,320,1275.1561222049802
AP,240,VCE,1551,CPH,609,,0,320,1123.966150968053
AP,240,VCE,1551,CTA,1509,,0,320,921.2628567033719
AP,240,VCE,1551,LED,2948,,0,320,1981.7068402459868
AP,240,VCE,1551,PMO,1512,,0,320,816.7538792913975
AP,240,VCE,1551,PRG,1587,,0,320,530.1149881879469
AP,240,VCE,1551,SUF,1508,,0,320,800.023959048027
AP,240,VCE,1551,TIA,1190,,0,320,747.7409321344018
AP,240,VIE,1613,CTA,1509,,0,320,1189.0312902745598
AP,240,VRN,1550,CTA,1509,,0,320,947.0117151397017
AP,240,VRN,1550,PMO,1512,,0,320,822.692558498753
AP,240,VRN,1550,TIA,1190,,0,320,838.4014611748274
AR,412,AEP,2442,AFA,2454,Y,0,E90,913.5619920530078
AR,412,AEP,2442,ASU,2699,,0,737,1039.1691306282275
AR,412,AEP,2442,BHI,2501,,0,737,571.1180744897125
AR,412,AEP,2442,BRC,2513,,0,737,1334.4145814743829
AR,412,AEP,2442,COR,2443,,0,737,648.7235433549953
AR,412,AEP,2442,CPC,2517,Y,0,E90,1278.755820694426
AR,412,AEP,2442,CRD,2487,,0,737,1462.9795522851941
AR,412,AEP,2442,CTC,2455,Y,0,E90,959.3867289454206
AR,412,AEP,2442,CWB,2545,Y,0,E90,1339.1694607566658
AR,412,AEP,2442,EQS,2488,Y,0,E90,1438.4016740861919
AR,412,AEP,2442,FLN,2555,,0,737,1209.8537503810273
AR,412,AEP,2442,FMA,2470,Y,0,E90,927.6792725524436
AR,412,AEP,2442,FTE,4061,,0,737,2067.1974251913875
AR,412,AEP,2442,GIG,2560,,0,737,1967.9425968745902
AR,412,AEP,2442,GRU,2564,,0,737,1692.9336993240217
AR,412,AEP,2442,IGR,2471,,0,737,1050.701469399228
AR,412,AEP,2442,IRJ,2458,Y,0,E90,976.6815994462943
AR,412,AEP,2442,JUJ,2477,,0,737,1300.7470585815004
AR,412,AEP,2442,LUQ,2467,Y,0,E90,745.8812598055105
AR,412,AEP,2442,MDQ,2508,,0,737,382.562915923934
AR,412,AEP,2442,MDZ,2452,,0,737,977.9791172966302
AR,412,AEP,2442,MVD,2816,,0,737,220.0729557850717
AR,412,AEP,2442,NQN,2509,,0,737,994.172688428949
AR,412,AEP,2442,PDP,6777,Y,0,E90,305.1726821424121
AR,412,AEP,2442,POA,2599,,0,737,848.4376471500469
AR,412,AEP,2442,PRA,2439,Y,0,E90,362.26070075254603
AR,412,AEP,2442,PSS,2474,,0,737,830.3952215352369
